date,name,value
2021-01-01,JPY,103.08043354249857
2021-01-01,EUR,0.8149295085975062
2021-01-02,JPY,103.08043354249857
2021-01-02,EUR,0.8149295085975062
2021-01-03,JPY,103.08043354249857
2021-01-03,EUR,0.8149295085975062
2021-01-04,JPY,102.97657774886142
2021-01-04,EUR,0.8132726089785296
2021-01-05,JPY,102.88485046043516
2021-01-05,EUR,0.8149295085975062
2021-01-06,JPY,102.95834008753445
2021-01-06,EUR,0.8105041335710812
2021-01-07,JPY,103.55979146301726
2021-01-07,EUR,0.8145975887911372
2021-01-08,JPY,103.88571428571429
2021-01-08,EUR,0.8163265306122448
2021-01-09,JPY,103.88571428571429
2021-01-09,EUR,0.8163265306122448
2021-01-10,JPY,103.88571428571429
2021-01-10,EUR,0.8163265306122448
